,sheetcell,step,sheetformula
0,u!B12,16,
1,u!B11,16,
2,h!G16,16,
3,h!D16,16,
4,u!K23,15,=(50+20)*2*PI()*u!B12*u!C16/LN(1+u!B11*2/u!F23)/1000
5,u!K24,15,=(50+20)*2*PI()*u!B12*u!C16/LN(1+u!B11*2/u!F24)/1000
6,h!P21,15,=(50+20)*2*PI()*h!G16*h!E21/LN(1+h!D16*2/h!H21)/1000
7,h!P22,15,=(50+20)*2*PI()*h!G16*h!E22/LN(1+h!D16*2/h!H22)/1000
8,h!P23,15,=(50+20)*2*PI()*h!G16*h!E23/LN(1+h!D16*2/h!H23)/1000
9,h!P24,15,=(50+20)*2*PI()*h!G16*h!E24/LN(1+h!D16*2/h!H24)/1000
10,h!P25,15,=(50+20)*2*PI()*h!G16*h!E25/LN(1+h!D16*2/h!H25)/1000
11,h!P26,15,=(50+20)*2*PI()*h!G16*h!E26/LN(1+h!D16*2/h!H26)/1000
12,h!P27,15,=(50+20)*2*PI()*h!G16*h!E27/LN(1+h!D16*2/h!H27)/1000
13,h!P28,15,=(50+20)*2*PI()*h!G16*h!E28/LN(1+h!D16*2/h!H28)/1000
14,h!P29,15,=(50+20)*2*PI()*h!G16*h!E29/LN(1+h!D16*2/h!H29)/1000
15,h!P30,15,=(50+20)*2*PI()*h!G16*h!E30/LN(1+h!D16*2/h!H30)/1000
16,h!P31,15,=(50+20)*2*PI()*h!G16*h!E31/LN(1+h!D16*2/h!H31)/1000
17,u!L23,14,=u!K23*24*180
18,u!L24,14,=u!K24*24*180
19,s!F20,14,
20,s!F24,14,
21,s!F12,14,
22,s!F10,14,
23,s!F22,14,
24,s!F14,14,
25,s!F7,14,
26,s!F8,14,
27,s!F2,14,
28,h!Q21,14,=h!P21*24*180
29,h!Q22,14,=h!P22*24*180
30,h!Q23,14,=h!P23*24*180
31,h!Q24,14,=h!P24*24*180
32,h!Q25,14,=h!P25*24*180
33,h!Q26,14,=h!P26*24*180
34,h!Q27,14,=h!P27*24*180
35,h!Q28,14,=h!P28*24*180
36,h!Q29,14,=h!P29*24*180
37,h!Q30,14,=h!P30*24*180
38,h!Q31,14,=h!P31*24*180
39,s!Q32,14,=SUM(s!Q2:Q31)
40,t!D52,13,
41,t!D56,13,
42,u!L25,13,=SUM(u!L23:L24)
43,s!G20,13,=s!F20*0.9485
44,s!G24,13,=s!F24*0.9485
45,s!G12,13,=s!F12*0.9485
46,s!G10,13,=s!F10*0.9485
47,s!G22,13,=s!F22*0.9485
48,s!G14,13,=s!F14*0.9485
49,s!G7,13,=s!F7*0.9485
50,s!G8,13,=s!F8*0.9485
51,t!D61,13,
52,t!D58,13,
53,t!D57,13,
54,t!D59,13,
55,t!D53,13,
56,t!D54,13,
57,t!D55,13,
58,h!Q32,13,=SUM(h!Q21:Q31)
59,s!O35,13,=s!Q32/s!I32
60,s!G2,13,=s!F2*0.9485
