,sheetcell,step,sheetformula
0,t!D52,13,
1,t!D56,13,
2,u!L25,13,=SUM(u!L23:L24)
3,s!G20,13,=s!F20*0.9485
4,s!G24,13,=s!F24*0.9485
5,s!G12,13,=s!F12*0.9485
6,s!G10,13,=s!F10*0.9485
7,s!G22,13,=s!F22*0.9485
8,s!G14,13,=s!F14*0.9485
9,s!G7,13,=s!F7*0.9485
10,s!G2,13,=s!F2*0.9485
11,t!D109,12,=t!D52/t!D63*PI()/4*t!D106^2*(t!D61-t!D58)*24*365/1000
12,t!D110,12,
13,t!D111,12,=PI()*((t!D106/2+40)^2-(t!D106/2+t!D62)^2)*t!D57*1000*4.2*((t!D61/2+t!D59)/3-t!D58)/3600
14,t!D112,12,=((t!D105+40)*(t!D106+80)-(t!D105*t!D106))*(t!D53+t!D54)/2*365*t!D55/100*1000*4.2*((t!D61+t!D59)/3-t!D59)/3600
15,t!D113,12,=-t!D56*t!D105/1000/30*((-0.0040125*23^2-0.028625*23+1000.3875)-(-0.0040125*t!D59^2-0.028625*t!D59+1000.3875))*PI()*((t!D106/2+30)^2-(t!D106/2)^2)*1000*t!D55/100 *4.2 *(23-t!D59) *24*365
16,t!D131,12,=u!L25*t!D122
17,h!D11,12,=s!G20
18,h!D13,12,=s!G24
19,h!D9,12,=s!G12
20,h!D8,12,=s!G10
21,h!D12,12,=s!G22
22,h!D10,12,=s!G14
23,h!D6,12,=s!G7
24,h!D5,12,=s!G2
25,t!D114,11,=SUM(t!D109:D113)
26,t!D145,11,=t!D131+t!D137
27,h!D21,11,=h!D11+h!D13
28,h!D22,11,=h!D11
29,h!D23,11,=h!D13/3
30,h!D24,11,=h!D9+h!D8
31,h!D25,11,=h!D8
32,h!D26,11,=h!D9
33,h!D27,11,=h!D12
34,h!D28,11,=h!D10
35,h!D29,11,=h!D6
36,h!D30,11,=h!D6+h!D10+h!D7+h!D12
37,h!D31,11,=h!D5
38,u!G24,11,=0.216/((u!B8/2)*u!F17/((1.5556*EXP(-0.0318393*u!B9)+0.2374))/10^(-6))^0.2*1/(u!F17)*(u!B8/2)^2*(-0.0040125*u!B9^2-0.028625*u!B9+1000.3875)/2/100000
39,u!G23,11,=0.216/((u!B8/2)*u!F16/((1.5556*EXP(-0.0318393*u!B9)+0.2374))/10^(-6))^0.2*1/(u!F16)*(u!B8/2)^2*(-0.0040125*u!B9^2-0.028625*u!B9+1000.3875)/2/100000
40,t!D153,10,=t!D114
41,t!D154,10,=t!D145
42,t!D31,10,=s!Q32/1000000
43,h!F21,10,=h!D21*t!h!D36/2/(1-e!V20/2/100)
44,h!F22,10,=h!D22*t!h!D36/2/(1-e!V20/2/100)
45,h!F23,10,=h!D23*t!h!D36/2/(1-e!V20/2/100)
46,h!F24,10,=h!D24*t!h!D36/2/(1-e!V20/2/100)
47,h!F25,10,=h!D25*t!h!D36/2/(1-e!V20/2/100)
48,h!F26,10,=h!D26*t!h!D36/2/(1-e!V20/2/100)
49,h!F27,10,=h!D27*t!h!D36/2/(1-e!V20/2/100)
50,h!F28,10,=h!D28*t!h!D36/2/(1-e!V20/2/100)
51,h!F29,10,=h!D29*t!h!D36/2/(1-e!V20/2/100)
52,h!F30,10,=h!D30*t!h!D36/2/(1-e!V20/2/100)
53,h!F31,10,=h!D31*t!h!D36/2/(1-e!V20/2/100)
54,u!H24,10,=u!G24*u!C16*2
55,u!H23,10,=u!G23*u!C16*2
56,h!I21,10,=(0.657/h!H21-0.058)*h!D17^1.92/10000*h!E21*1.5
57,h!I22,10,=(0.657/h!H22-0.058)*h!D17^1.92/10000*h!E22*1.5
58,h!I23,10,=(0.657/h!H23-0.058)*h!D17^1.92/10000*h!E23*1.5
59,h!I24,10,=(0.657/h!H24-0.058)*h!D17^1.92/10000*h!E24*1.5
60,h!I25,10,=(0.657/h!H25-0.058)*h!D17^1.92/10000*h!E25*1.5
61,h!I26,10,=(0.657/h!H26-0.058)*h!D17^1.92/10000*h!E26*1.5
62,h!I27,10,=(0.657/h!H27-0.058)*h!D17^1.92/10000*h!E27*1.5
63,h!I28,10,=(0.657/h!H28-0.058)*h!D17^1.92/10000*h!E28*1.5
64,h!I29,10,=(0.657/h!H29-0.058)*h!D17^1.92/10000*h!E29*1.5
65,h!I30,10,=(0.657/h!H30-0.058)*h!D17^1.92/10000*h!E30*1.5
66,h!I31,10,=(0.657/h!H31-0.058)*h!D17^1.92/10000*h!E31*1.5
67,e!V25,9,
68,t!D155,9,=SUM(t!D153:D154)
69,u!G16,9,=0.216/(u!B8*u!F16/((1.5556*EXP(-0.0318393*u!B9)+0.2374))/10^(-6))^0.2*1/(u!F16)*u!B8^2*(-0.0040125*u!B9^2-0.028625*u!B9+1000.3875)/2/100000
70,u!E16,9,=t!D36*u!D16*s!I35*2/(1-e!V20/2/100)
71,u!B7,9,
72,u!G17,9,=0.216/(u!B8*u!F17/((1.5556*EXP(-0.0318393*u!B9)+0.2374))/10^(-6))^0.2*1/(u!F17)*u!B8^2*(-0.0040125*u!B9^2-0.028625*u!B9+1000.3875)/2/100000
73,u!E17,9,=t!D36*u!D16*s!I35/(1-e!V20/2/100)
74,t!D118,9,=t!D31*1000000/t!D117
75,h!G21,9,=h!F21*2
76,h!G22,9,=h!F22*2
77,h!G23,9,=h!F23*2
78,h!G24,9,=h!F24*2
79,h!G25,9,=h!F25*2
80,h!G26,9,=h!F26*2
81,h!G27,9,=h!F27*2
82,h!G28,9,=h!F28*2
83,h!G29,9,=h!F29*2
84,h!G30,9,=h!F30*2
85,h!G31,9,=h!F31*2
86,u!I24,9,=u!H24*10^5*PI()/4*u!F24^2*u!B8/1000/0.75
87,u!I23,9,=u!H23*10^5*PI()/4*u!F23^2*u!B8/1000/0.75
88,h!K21,9,=h!I21*10^5*PI()/4*h!H21^2*h!D17/1000*2/0.75
89,h!K22,9,=h!I22*10^5*PI()/4*h!H22^2*h!D17/1000*2/0.75
90,h!K23,9,=h!I23*10^5*PI()/4*h!H23^2*h!D17/1000*2/0.75
91,h!K24,9,=h!I24*10^5*PI()/4*h!H24^2*h!D17/1000*2/0.75
92,h!K25,9,=h!I25*10^5*PI()/4*h!H25^2*h!D17/1000*2/0.75
93,h!K26,9,=h!I26*10^5*PI()/4*h!H26^2*h!D17/1000*2/0.75
94,h!K27,9,=h!I27*10^5*PI()/4*h!H27^2*h!D17/1000*2/0.75
